English,Hindi,Gujarati,Marathi,Kannada,Malayalam,Tamil,Telugu,Bengali,Assamese,Punjabi,Odia
You need to enable JavaScript to run this app.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.,You need to enable JavaScript to run this application.
".overlay::before, .overlay::after {
background: linear-gradient(to right, var(--gradient-color));
content: """";
 height: 100%;
position: absolute;
width: var(--gradient-width);
z-index: 2;
display:none
}",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }",".overlay::before, .overlay::after {background: linear-gradient(to right, var(--gradient-color); content: "";"" height: 100%; position: absolute; width: var(--gradient-width); z-index: 2; display:none }"
Poshan Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:,Helpline:
14408,14408,14408,14408,14408,14408,14408,14408,14408,14408,14408,14408
ABHA (Health ID),ABHA (own ID card),ABHA (hell ID),Health IID,Abihesh (Health Id),ABHA (Helthe IDE),ABHA (Catholic ID),ABHA (Helth ID),ABHA (Health ID),ABHA (Helthe ID),ABHA (Tribe of Judah),ABHA (Saudi ID)
Language,Language,Language,Language,Language,Language,Language,Language,Language,Langueze,Language,Language
English,English,English,English,English,English,English,English,English,English,English,English
हिंदी,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi,Hindi
ગુજરાતી,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati
મરાઠી,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday,Tuesday
